Sector,Year,Month,Month_Year,Avg_Volume_Millions
Auto,2000,1,Jan-2000,0.37
Auto,2000,10,Oct-2000,0.13
Auto,2000,11,Nov-2000,0.4
Auto,2000,12,Dec-2000,0.73
Auto,2000,2,Feb-2000,0.22
Auto,2000,3,Mar-2000,0.25
Auto,2000,4,Apr-2000,0.27
Auto,2000,5,May-2000,0.21
Auto,2000,6,Jun-2000,0.29
Auto,2000,7,Jul-2000,0.26
Auto,2000,8,Aug-2000,0.27
Auto,2000,9,Sep-2000,0.18
Auto,2001,1,Jan-2001,0.86
Auto,2001,10,Oct-2001,0.25
Auto,2001,11,Nov-2001,0.62
Auto,2001,12,Dec-2001,0.23
Auto,2001,2,Feb-2001,1.41
Auto,2001,3,Mar-2001,0.48
Auto,2001,4,Apr-2001,0.39
Auto,2001,5,May-2001,0.27
Auto,2001,6,Jun-2001,0.19
Auto,2001,7,Jul-2001,0.12
Auto,2001,8,Aug-2001,0.13
Auto,2001,9,Sep-2001,0.11
Auto,2002,1,Jan-2002,0.59
Auto,2002,10,Oct-2002,0.51
Auto,2002,11,Nov-2002,0.91
Auto,2002,12,Dec-2002,0.84
Auto,2002,2,Feb-2002,0.71
Auto,2002,3,Mar-2002,0.39
Auto,2002,4,Apr-2002,0.37
Auto,2002,5,May-2002,0.42
Auto,2002,6,Jun-2002,1.08
Auto,2002,7,Jul-2002,0.76
Auto,2002,8,Aug-2002,0.67
Auto,2002,9,Sep-2002,0.45
Auto,2003,1,Jan-2003,0.72
Auto,2003,10,Oct-2003,2.91
Auto,2003,11,Nov-2003,2.91
Auto,2003,12,Dec-2003,1.76
Auto,2003,2,Feb-2003,0.7
Auto,2003,3,Mar-2003,0.62
Auto,2003,4,Apr-2003,0.6
Auto,2003,5,May-2003,0.81
Auto,2003,6,Jun-2003,1.01
Auto,2003,7,Jul-2003,2.57
Auto,2003,8,Aug-2003,2.34
Auto,2003,9,Sep-2003,1.75
Auto,2004,1,Jan-2004,2.82
Auto,2004,10,Oct-2004,1.64
Auto,2004,11,Nov-2004,1.27
Auto,2004,12,Dec-2004,1.35
Auto,2004,2,Feb-2004,3.84
Auto,2004,3,Mar-2004,2.67
Auto,2004,4,Apr-2004,1.93
Auto,2004,5,May-2004,2.94
Auto,2004,6,Jun-2004,3.2
Auto,2004,7,Jul-2004,3.02
Auto,2004,8,Aug-2004,2.67
Auto,2004,9,Sep-2004,2.65
Auto,2005,1,Jan-2005,1.27
Auto,2005,10,Oct-2005,0.99
Auto,2005,11,Nov-2005,0.92
Auto,2005,12,Dec-2005,1.02
Auto,2005,2,Feb-2005,1.17
Auto,2005,3,Mar-2005,1.04
Auto,2005,4,Apr-2005,1.03
Auto,2005,5,May-2005,0.91
Auto,2005,6,Jun-2005,0.68
Auto,2005,7,Jul-2005,0.64
Auto,2005,8,Aug-2005,0.75
Auto,2005,9,Sep-2005,0.83
Auto,2006,1,Jan-2006,0.74
Auto,2006,10,Oct-2006,0.62
Auto,2006,11,Nov-2006,0.68
Auto,2006,12,Dec-2006,0.61
Auto,2006,2,Feb-2006,1.06
Auto,2006,3,Mar-2006,1.38
Auto,2006,4,Apr-2006,0.89
Auto,2006,5,May-2006,0.92
Auto,2006,6,Jun-2006,1.02
Auto,2006,7,Jul-2006,0.88
Auto,2006,8,Aug-2006,0.76
Auto,2006,9,Sep-2006,0.77
Auto,2007,1,Jan-2007,0.71
Auto,2007,10,Oct-2007,0.82
Auto,2007,11,Nov-2007,0.45
Auto,2007,12,Dec-2007,0.52
Auto,2007,2,Feb-2007,0.59
